tax_id	superkingdom	phylum	class	order	family	genus	species
18744	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Tricladium	Tricladium_angulatum
18745	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_bracarensis
18746	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_shivogae
18747	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pseudohiulca
18748	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fomitiporia	Fomitiporia_polymorpha
18749	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Fusicladium	Fusicladium_fagi
18750	Fungi	Entorrhizomycota	Entorrhizomycetes	Talbotiomycetales	unidentified	unidentified	Talbotiomycetales_sp
18751	Fungi	Basidiomycota	Agaricomycetes	Boletales	Suillaceae	Suillus	Suillus_subaureus
18752	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	Acremonium_fusidioides
18753	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma_victoriae
18754	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_brunneus
18755	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lepiota	Lepiota_boudieri
18756	Fungi	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytridiaceae	Dendrochytridium	Dendrochytridium_crassum
18757	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	Microbotryaceae	Microbotryum	Microbotryum_silenes-saxifragae
18758	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_subrufescens
18759	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_tricincta
18760	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_pseudonebularis
18761	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Halodiatrype	Halodiatrype_sp
18762	Fungi	Basidiomycota	Tritirachiomycetes	Tritirachiales	Tritirachiaceae	Tritirachium	Tritirachium_cinnamomeum
18763	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	Metschnikowia_aberdeeniae
18764	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus_aurantiipes
18765	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Flagellospora	Flagellospora_curvula
18766	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Flavoplaca	Flavoplaca_arcis
18767	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeriopsis	Phaeosphaeriopsis_pseudoagavacearum
18768	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Gnomoniopsis	Gnomoniopsis_fructicola
18769	Fungi	Ascomycota	Sordariomycetes	Savoryellales	Savoryellaceae	Neoascotaiwania	Neoascotaiwania_limnetica
18770	Fungi	Zoopagomycota	Zoopagomycetes	Zoopagales	Piptocephalidaceae	Piptocephalis	Piptocephalis_freseniana
18771	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor	Rhizomucor_miehei
18772	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus_compressum
18773	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia_leucadendri
18774	Fungi	Ascomycota	Sordariomycetes	Microascales	Ceratocystidaceae	Ceratocystis	Ceratocystis_adiposa
